customer_id,cohort_month,order_month
4652,2020-09,2025-02
7528,2023-09,2024-01
5573,2020-11,2021-06
7548,2023-02,2023-04
6425,2023-02,2023-02
5279,2020-05,2023-01
1626,2021-09,2021-09
6663,2022-03,2022-03
8149,2022-01,2022-01
2894,2021-12,2025-02
4114,2022-04,2024-04
8144,2020-05,2022-01
4228,2022-10,2022-10
6409,2020-08,2021-12
3041,2022-10,2022-10
9308,2021-01,2023-05
6344,2024-10,2024-10
3085,2023-08,2023-08
7211,2021-06,2021-06
5930,2020-06,2020-06
5978,2020-06,2020-06
6279,2020-09,2020-09
4501,2020-02,2023-11
3780,2021-06,2021-06
9445,2022-01,2022-01
6491,2023-05,2023-05
6085,2020-04,2025-04
3414,2020-02,2021-04
8784,2020-10,2023-04
8461,2020-10,2020-10
4185,2020-07,2022-06
9099,2020-11,2020-11
1090,2024-04,2024-04
7965,2021-10,2023-04
9486,2020-01,2022-03
5082,2021-01,2021-01
8478,2021-06,2023-01
9702,2023-12,2023-12
6198,2020-03,2024-07
9270,2024-05,2024-05
8305,2021-10,2023-05
8777,2023-04,2024-03
5543,2020-01,2020-01
8939,2021-08,2021-08
8206,2021-04,2022-10
4841,2021-12,2021-12
9849,2020-09,2020-09
4788,2021-06,2024-03
4505,2022-03,2022-03
6421,2021-05,2022-09
2020,2020-04,2022-04
7381,2020-08,2020-08
1320,2023-11,2023-11
7232,2021-08,2024-07
5892,2020-12,2020-12
9818,2020-08,2023-06
4613,2020-01,2020-05
8140,2023-11,2023-11
6507,2023-11,2023-11
3704,2020-06,2020-06
9751,2020-07,2023-09
1444,2021-11,2021-11
3223,2020-04,2020-04
1823,2020-09,2020-09
4467,2020-08,2020-08
7211,2021-06,2024-05
5133,2023-06,2023-06
1317,2022-09,2022-09
6733,2020-10,2021-04
1659,2021-11,2021-11
4266,2022-07,2022-07
3496,2022-05,2023-10
2874,2022-03,2024-03
8619,2023-03,2023-03
3749,2021-08,2025-03
2876,2020-04,2020-04
6096,2020-01,2021-10
6111,2023-03,2023-03
7498,2023-07,2024-06
2245,2020-06,2021-05
4978,2021-10,2021-10
2983,2020-06,2020-06
1672,2022-01,2025-01
7071,2020-09,2024-11
6590,2023-02,2023-02
9031,2021-06,2021-06
8532,2020-09,2020-09
3885,2020-11,2023-12
5425,2021-12,2023-10
8921,2020-06,2020-06
5397,2023-06,2023-06
2419,2024-05,2024-05
4995,2023-03,2024-08
7209,2020-03,2020-03
6325,2021-05,2021-05
6813,2023-02,2023-02
5581,2020-04,2020-04
5526,2020-04,2020-04
4130,2020-02,2022-11
7658,2020-08,2023-02
8800,2023-12,2023-12
8342,2020-04,2020-04
5820,2020-07,2022-09
4986,2021-10,2021-10
7046,2020-07,2022-06
6632,2024-10,2024-10
6419,2021-01,2024-05
5438,2024-04,2024-04
2976,2020-11,2022-05
2958,2020-04,2020-04
4033,2021-01,2021-03
8933,2020-06,2024-05
9595,2020-08,2020-08
4180,2020-09,2023-11
3939,2022-06,2022-06
9751,2020-07,2020-07
1893,2022-11,2022-11
3068,2020-07,2023-02
2680,2021-10,2024-09
5658,2023-08,2023-08
6582,2020-09,2023-12
5136,2021-05,2021-05
2869,2020-09,2020-09
9056,2023-01,2025-02
1878,2023-04,2023-04
5978,2020-06,2022-11
2940,2021-08,2023-05
4697,2020-06,2020-06
8381,2023-11,2023-11
8025,2020-08,2022-01
1986,2022-10,2024-09
2625,2022-02,2022-02
4457,2024-07,2024-07
3573,2021-09,2021-09
2229,2020-04,2024-06
8381,2023-11,2023-11
5771,2024-02,2024-02
5632,2020-01,2020-09
2166,2022-10,2022-10
4241,2023-06,2023-06
4683,2020-11,2021-02
3330,2020-03,2020-03
6039,2024-09,2024-09
5728,2023-02,2023-02
5982,2020-07,2023-07
9199,2020-10,2024-12
2317,2024-03,2024-03
6280,2021-06,2024-07
2496,2022-03,2024-02
1339,2023-08,2023-08
5415,2024-12,2024-12
8708,2020-06,2021-04
5557,2021-11,2021-11
8141,2021-04,2024-12
2494,2024-01,2024-01
6460,2022-06,2022-07
3634,2022-05,2024-12
9117,2020-08,2020-08
1601,2020-12,2021-03
5135,2022-06,2022-06
9431,2022-07,2022-07
9889,2022-12,2022-12
4073,2024-07,2024-07
9167,2022-12,2022-12
4335,2020-03,2021-11
5719,2021-01,2022-01
8941,2020-05,2021-06
4920,2021-08,2024-12
1224,2020-09,2020-09
4681,2022-01,2023-05
8560,2022-07,2022-07
3522,2021-12,2023-06
5781,2020-01,2021-07
7807,2021-03,2021-03
4993,2020-12,2020-12
7284,2021-01,2021-01
9327,2022-07,2022-07
2143,2020-10,2020-10
6568,2023-03,2024-01
5377,2020-12,2020-12
5891,2021-05,2024-09
9022,2022-10,2022-10
9824,2020-03,2023-02
9903,2020-04,2023-12
4090,2020-02,2021-01
7274,2020-04,2022-12
1715,2021-09,2021-09
7246,2020-01,2020-01
3492,2020-07,2020-07
3068,2020-07,2023-11
6439,2021-11,2021-11
2633,2021-03,2024-01
1251,2022-04,2022-04
3529,2021-09,2021-09
6546,2023-03,2023-06
2315,2020-04,2023-11
9742,2022-11,2022-11
8994,2023-07,2023-07
2121,2024-11,2024-11
5708,2024-10,2024-10
2480,2020-02,2021-10
2646,2022-03,2023-06
5906,2022-05,2022-05
6314,2020-02,2020-09
6873,2020-05,2022-08
5000,2020-06,2022-08
3950,2021-07,2022-10
7267,2020-08,2022-04
9153,2020-07,2022-03
4804,2023-10,2023-10
8529,2020-03,2024-08
8622,2020-01,2020-01
9955,2020-05,2021-06
6661,2022-03,2022-03
7951,2021-08,2024-01
5949,2020-08,2023-01
8916,2022-05,2023-01
6881,2020-08,2020-08
5837,2020-10,2021-05
7484,2021-06,2022-07
1803,2021-03,2024-06
9138,2021-02,2023-01
4770,2021-08,2021-08
4588,2022-04,2024-05
5106,2022-01,2022-01
3240,2021-09,2021-09
1645,2020-03,2020-10
1546,2020-04,2020-04
3153,2020-06,2020-06
6352,2023-10,2023-10
4289,2020-02,2020-02
6994,2021-04,2021-04
3695,2023-07,2023-07
5835,2023-04,2023-06
2886,2023-09,2024-03
3306,2020-08,2022-12
7511,2022-02,2022-02
6992,2020-09,2020-09
1228,2022-12,2022-12
8451,2020-01,2023-10
5295,2022-06,2022-06
7086,2025-04,2025-04
8724,2020-01,2020-01
6374,2021-10,2021-10
2035,2020-04,2020-04
5951,2021-05,2021-05
3290,2022-11,2023-02
5986,2020-01,2020-01
2592,2020-08,2020-08
3222,2021-03,2023-06
9850,2020-05,2024-11
3531,2020-05,2020-05
2622,2021-04,2023-04
7686,2022-01,2022-01
1536,2022-11,2022-11
8264,2020-10,2024-01
6942,2020-03,2020-09
7018,2020-04,2020-04
6876,2020-06,2022-07
4109,2020-11,2020-11
2501,2021-09,2021-09
1349,2021-12,2022-03
4990,2020-03,2020-06
4362,2021-04,2021-04
4394,2020-01,2021-01
6383,2021-01,2021-01
1046,2022-01,2024-03
3129,2020-07,2020-07
2801,2022-01,2022-01
3159,2020-05,2020-11
6304,2021-04,2021-04
1858,2021-05,2022-10
9619,2023-02,2025-04
8802,2020-08,2021-10
9408,2020-12,2020-12
9254,2021-02,2021-02
1710,2020-03,2022-07
9543,2020-10,2020-10
1510,2021-03,2024-06
7580,2020-10,2020-10
9032,2021-09,2023-01
2204,2020-10,2020-10
3430,2020-01,2024-10
9984,2022-10,2023-03
9692,2020-02,2022-09
8048,2024-04,2024-04
2874,2022-03,2022-03
4522,2024-03,2024-03
7779,2020-12,2021-12
7532,2020-12,2022-03
6120,2024-01,2024-01
5176,2020-01,2020-01
8770,2020-07,2024-11
2527,2020-09,2020-09
7105,2020-09,2021-08
1982,2024-07,2024-07
6400,2020-01,2020-01
6793,2021-02,2021-02
1842,2020-04,2022-08
6119,2022-02,2022-02
9313,2022-06,2024-06
8900,2020-12,2022-08
6736,2023-07,2023-07
2882,2020-02,2020-03
4705,2022-01,2022-01
1430,2021-06,2022-04
5381,2020-05,2020-05
6062,2020-07,2020-07
1100,2022-02,2024-06
7566,2021-03,2021-11
1502,2023-01,2023-01
4524,2022-10,2023-05
6585,2024-10,2024-10
6314,2020-02,2023-07
2391,2022-08,2023-12
3579,2020-07,2022-11
2336,2020-02,2020-02
7947,2021-12,2021-12
7785,2020-05,2024-07
2864,2023-09,2023-09
5640,2020-06,2020-06
8972,2021-11,2024-04
1744,2023-04,2023-04
1897,2020-01,2021-07
4460,2020-10,2023-04
5742,2020-03,2023-08
9149,2023-07,2023-07
3116,2022-04,2022-04
4770,2021-08,2022-12
6802,2020-11,2020-11
1693,2020-12,2020-12
2275,2022-01,2023-08
8033,2021-06,2025-04
7843,2022-01,2022-01
1341,2021-01,2023-12
8538,2020-07,2022-07
2443,2022-06,2022-06
4986,2021-10,2023-01
9584,2023-01,2023-11
6562,2022-07,2022-07
2251,2020-03,2020-10
9693,2020-09,2023-02
6752,2020-04,2020-04
3419,2022-05,2022-05
5193,2020-02,2022-07
3504,2020-11,2020-11
2234,2021-08,2024-02
9095,2021-11,2023-03
8354,2020-04,2022-05
6295,2021-09,2022-09
6179,2022-09,2024-03
8682,2023-07,2023-07
5500,2020-01,2020-01
9312,2022-11,2022-11
8404,2020-01,2024-09
5703,2020-01,2025-03
9307,2022-06,2022-06
1672,2022-01,2022-04
4084,2022-11,2025-01
9214,2020-05,2021-07
8381,2023-11,2024-08
2381,2021-09,2021-09
1641,2020-06,2020-06
8199,2023-05,2023-12
3600,2022-02,2022-02
7347,2020-05,2021-05
1857,2021-11,2025-01
6482,2020-06,2025-01
7333,2022-03,2022-03
3463,2021-07,2021-07
3317,2020-03,2023-02
7421,2021-02,2021-02
2388,2022-10,2023-03
6381,2020-02,2024-10
9624,2024-01,2024-01
7937,2023-01,2023-01
6940,2021-01,2024-09
6598,2020-10,2021-12
4145,2022-08,2025-02
3538,2023-02,2023-02
9317,2020-06,2020-06
9626,2021-07,2021-07
3147,2022-06,2024-12
3658,2020-03,2022-07
3712,2020-10,2020-10
7731,2021-10,2021-10
4891,2022-07,2023-09
5668,2020-08,2020-08
4833,2021-10,2021-10
8684,2021-10,2021-12
7026,2021-09,2021-09
8218,2020-08,2021-02
7256,2022-07,2022-07
3655,2021-01,2024-11
3267,2020-09,2020-09
8873,2022-01,2022-01
2680,2021-10,2021-10
3042,2020-03,2021-03
5469,2022-04,2022-04
3414,2020-02,2020-02
4637,2022-04,2023-02
1436,2020-07,2020-07
9224,2020-02,2021-02
2337,2022-03,2022-03
6221,2024-05,2024-05
6493,2021-02,2024-06
1627,2021-05,2021-06
3273,2020-03,2022-09
8349,2020-09,2023-12
1311,2023-12,2023-12
9991,2022-08,2024-06
9647,2020-02,2020-06
4893,2021-04,2023-05
4906,2021-02,2023-06
8489,2020-09,2020-09
9782,2020-01,2023-12
4963,2020-02,2020-09
8032,2020-04,2025-04
4941,2020-10,2025-04
2402,2020-07,2024-06
2108,2021-11,2022-06
9312,2022-11,2025-01
1333,2020-10,2020-10
1713,2024-08,2024-08
5155,2024-03,2025-02
2106,2021-07,2023-06
2698,2021-05,2021-05
6447,2020-01,2020-01
9945,2020-04,2020-04
3868,2020-03,2023-02
8612,2023-04,2024-01
3986,2020-02,2020-02
8498,2020-03,2021-03
1717,2021-10,2022-09
6170,2022-08,2023-09
7524,2020-05,2022-08
8756,2020-07,2023-02
4131,2023-08,2025-03
6438,2021-07,2021-07
8159,2021-02,2023-09
8204,2022-01,2022-01
6554,2021-02,2021-02
9151,2024-06,2024-06
5369,2025-02,2025-02
7955,2020-08,2020-08
3956,2020-07,2020-08
2680,2021-10,2023-09
5843,2020-12,2025-03
7981,2021-05,2022-09
6759,2020-07,2021-05
6776,2022-12,2022-12
5498,2021-04,2022-03
2229,2020-04,2020-12
6952,2022-01,2024-04
3621,2020-12,2022-03
8179,2020-05,2020-05
4866,2021-06,2022-09
6933,2023-12,2023-12
1530,2022-03,2022-08
8371,2021-02,2021-02
8273,2020-12,2020-12
3255,2020-02,2022-02
6150,2022-07,2023-12
2858,2023-10,2023-10
9176,2025-03,2025-03
2929,2020-03,2021-01
8311,2021-06,2021-06
5678,2020-09,2022-04
4279,2020-08,2021-09
8406,2020-09,2023-12
8292,2020-07,2025-01
6236,2020-08,2020-08
2063,2020-09,2022-11
5914,2023-09,2023-09
3852,2023-12,2024-12
4673,2020-09,2020-09
3275,2022-11,2022-11
1430,2021-06,2021-06
7044,2020-02,2020-02
3126,2022-01,2023-12
2077,2022-03,2025-02
8842,2023-05,2023-05
2208,2021-07,2021-07
2215,2023-04,2023-04
9476,2020-09,2021-11
3981,2020-01,2020-08
8088,2021-07,2022-01
3034,2022-07,2022-07
3697,2020-09,2020-09
4694,2021-03,2025-02
5653,2024-06,2024-06
4216,2020-03,2020-03
5496,2022-11,2025-03
9740,2020-05,2023-06
3762,2020-07,2020-07
3526,2020-10,2021-09
6531,2022-08,2022-08
1674,2020-10,2020-10
2330,2021-12,2021-12
5336,2020-11,2022-06
7825,2022-08,2022-08
9159,2020-04,2020-04
5745,2020-02,2022-06
8912,2022-06,2022-06
7653,2021-01,2023-05
1981,2020-04,2021-10
8933,2020-06,2022-12
3353,2022-07,2024-12
6231,2020-04,2021-02
7532,2020-12,2021-11
9437,2022-10,2023-09
4960,2023-06,2023-06
8366,2021-11,2025-02
1829,2021-08,2021-08
7850,2021-12,2024-05
6364,2020-02,2022-10
6123,2020-06,2020-06
9163,2020-12,2020-12
9171,2020-08,2020-08
1379,2021-06,2024-11
9281,2020-12,2020-12
4524,2022-10,2022-10
1828,2020-04,2023-11
8710,2021-05,2021-11
2761,2022-02,2022-04
6992,2020-09,2024-05
1741,2021-09,2021-09
4189,2022-03,2022-03
2204,2020-10,2023-01
5582,2020-11,2021-06
2946,2023-10,2025-04
7453,2020-05,2024-03
6990,2020-03,2021-04
9341,2021-02,2021-02
1742,2024-08,2024-08
6456,2022-10,2022-10
8487,2021-12,2021-12
3290,2022-11,2025-02
6218,2024-05,2024-05
5902,2022-02,2023-08
9351,2024-08,2024-08
5911,2021-07,2023-11
7035,2024-09,2024-09
7824,2023-05,2023-05
1436,2020-07,2025-01
4728,2020-10,2020-10
8871,2020-11,2022-08
7229,2021-03,2021-03
4968,2021-08,2021-08
2800,2020-02,2020-02
6139,2022-06,2022-06
4340,2023-02,2023-08
8726,2024-04,2024-04
2020,2020-04,2020-04
4397,2020-11,2020-11
8837,2020-08,2024-04
3837,2024-10,2025-03
6608,2021-08,2021-08
5331,2023-07,2023-07
5038,2023-03,2023-03
4684,2020-11,2020-11
5735,2020-11,2023-08
9011,2020-02,2024-05
5480,2020-03,2023-03
9899,2020-09,2021-08
6654,2021-02,2021-02
5758,2020-03,2020-03
2294,2022-08,2022-11
5201,2023-12,2024-10
4310,2020-01,2020-01
5450,2023-03,2023-03
4920,2021-08,2021-08
9700,2020-09,2024-06
1860,2021-06,2021-06
8739,2021-09,2023-07
1084,2022-03,2022-06
7666,2020-03,2021-12
8822,2021-01,2024-06
6262,2023-05,2024-08
2465,2021-03,2021-03
9767,2024-06,2024-06
3868,2020-03,2022-03
1595,2020-02,2020-02
9116,2023-11,2023-11
5742,2020-03,2021-03
5888,2021-03,2021-03
6489,2021-09,2022-03
9901,2024-01,2024-01
9261,2023-09,2023-09
2845,2022-07,2022-07
8518,2022-05,2022-05
4050,2020-11,2021-09
5833,2020-01,2022-12
3875,2020-10,2022-05
7643,2022-04,2022-09
6372,2020-03,2020-03
2562,2023-05,2023-05
8822,2021-01,2021-04
1111,2024-01,2024-01
8319,2021-01,2023-08
5947,2020-06,2023-11
1187,2020-02,2020-02
4871,2021-02,2021-02
8625,2023-12,2023-12
9233,2021-01,2021-01
6095,2021-06,2021-06
5833,2020-01,2022-12
4590,2021-08,2021-08
3509,2021-01,2021-09
7121,2022-06,2024-09
8714,2022-10,2022-10
4578,2021-07,2025-04
2341,2021-08,2021-11
6927,2020-02,2020-10
2838,2023-04,2024-12
9281,2020-12,2024-01
3455,2023-08,2023-08
8239,2020-01,2021-01
9008,2020-11,2022-02
8298,2022-07,2022-07
3161,2024-01,2024-07
1945,2023-07,2023-07
6049,2023-12,2023-12
5169,2020-12,2020-12
4570,2020-12,2020-12
7941,2021-10,2022-10
9866,2021-08,2023-09
8734,2024-07,2024-10
3948,2022-01,2022-11
7887,2025-03,2025-03
8348,2024-01,2024-01
7154,2022-04,2022-04
9835,2020-08,2024-11
2943,2020-11,2023-12
7439,2023-04,2023-06
4648,2020-03,2020-03
5888,2021-03,2022-10
9920,2024-08,2025-02
4762,2021-08,2024-03
3541,2020-02,2024-04
2848,2020-02,2022-11
7868,2020-10,2020-10
4943,2022-08,2023-12
1550,2020-09,2022-07
1797,2021-06,2021-06
7590,2021-10,2021-10
4559,2021-04,2021-07
3295,2023-03,2023-03
4836,2021-09,2022-03
6224,2022-11,2022-11
6253,2023-01,2023-01
9540,2023-07,2024-08
5508,2023-08,2023-08
3869,2020-02,2025-04
9120,2023-10,2023-10
7244,2022-10,2023-09
7821,2022-12,2022-12
7167,2020-02,2020-02
8758,2021-02,2023-06
5927,2024-10,2024-10
8586,2020-09,2022-11
7761,2020-03,2020-03
9683,2020-08,2020-08
5177,2024-02,2024-02
2295,2021-08,2021-08
2514,2021-10,2021-10
1844,2023-01,2023-01
1647,2021-12,2022-07
4555,2020-02,2020-02
5967,2021-01,2024-03
4470,2020-04,2020-04
2922,2020-06,2020-06
4974,2021-08,2021-10
4350,2021-09,2024-08
6269,2020-09,2024-01
8639,2020-02,2020-02
6053,2022-11,2022-11
9147,2022-06,2025-01
8692,2024-07,2024-07
4328,2020-08,2020-08
1749,2020-02,2020-02
3390,2021-11,2024-10
7841,2020-04,2023-07
6404,2020-06,2023-04
5026,2020-06,2020-06
6530,2021-08,2021-08
9037,2020-05,2020-06
6770,2021-07,2021-12
9954,2020-01,2020-01
1962,2021-09,2024-02
1794,2020-08,2020-08
3252,2021-01,2021-01
2113,2020-02,2021-12
4583,2022-06,2022-06
1990,2022-01,2022-01
8916,2022-05,2022-05
1108,2022-08,2023-03
1194,2020-01,2020-01
5501,2020-07,2020-07
1280,2024-01,2024-03
8054,2024-02,2024-07
2753,2020-10,2024-06
3439,2020-01,2024-07
9625,2020-06,2020-06
5379,2020-08,2021-04
7112,2022-12,2022-12
4984,2020-09,2020-09
5914,2023-09,2025-03
1519,2020-04,2020-04
7179,2020-07,2023-07
1154,2022-10,2022-10
9189,2020-10,2022-01
6427,2021-08,2024-01
9653,2022-12,2022-12
4463,2020-01,2023-10
8790,2022-09,2023-08
5593,2020-05,2020-05
1539,2022-12,2022-12
1256,2021-09,2021-09
3362,2020-02,2020-02
7525,2021-12,2021-12
3661,2020-08,2020-08
7375,2023-02,2023-04
6435,2020-01,2020-01
3292,2020-08,2021-09
2284,2022-02,2022-02
1879,2020-07,2020-07
2245,2020-06,2023-01
7499,2021-11,2021-11
1485,2024-08,2024-08
9038,2020-02,2020-02
7150,2020-05,2020-05
7227,2022-06,2022-06
5839,2024-09,2024-09
2204,2020-10,2021-02
7225,2020-10,2020-10
3527,2022-08,2023-07
6909,2021-09,2021-09
6050,2020-02,2020-02
2674,2021-12,2021-12
8061,2024-10,2024-10
9395,2022-07,2022-07
2468,2020-06,2024-11
6315,2021-12,2021-12
5781,2020-01,2021-10
4977,2021-04,2021-10
7237,2020-12,2020-12
5933,2020-07,2020-07
2036,2021-12,2023-04
7899,2021-02,2025-03
6916,2021-07,2021-07
9123,2020-10,2024-05
8501,2023-11,2025-04
1110,2022-06,2024-08
7224,2021-06,2021-06
8212,2020-05,2020-05
3230,2023-03,2023-03
4290,2024-03,2024-03
7524,2020-05,2022-01
9044,2024-05,2024-05
6339,2020-04,2020-04
6980,2022-01,2022-01
4273,2022-12,2022-12
3947,2020-04,2020-04
1440,2020-06,2020-06
4434,2022-05,2022-05
2133,2020-03,2024-01
9180,2020-10,2020-10
4965,2022-05,2022-05
7932,2020-02,2021-01
8357,2021-02,2021-02
7566,2021-03,2023-03
7853,2023-11,2023-11
9796,2021-01,2021-01
2791,2021-04,2021-04
6816,2023-01,2023-01
1725,2024-01,2025-04
7547,2020-04,2022-12
8052,2020-05,2021-05
5239,2024-05,2024-05
9499,2021-03,2022-10
4621,2020-01,2023-10
8586,2020-09,2022-11
9199,2020-10,2023-07
8909,2023-04,2024-08
2406,2022-03,2023-11
3321,2023-08,2023-08
8460,2020-04,2020-04
8912,2022-06,2024-04
8178,2022-05,2022-05
6225,2020-01,2021-12
2885,2023-01,2023-01
2791,2021-04,2023-09
4996,2024-07,2024-07
3623,2022-07,2022-07
8570,2021-08,2024-01
4022,2020-12,2022-10
8080,2020-01,2022-02
4232,2020-03,2023-05
7370,2020-12,2022-03
4371,2020-08,2020-08
2025,2021-10,2021-10
4063,2021-12,2024-05
8496,2021-06,2021-06
9019,2020-02,2021-06
6134,2020-06,2023-01
7431,2023-02,2024-07
6766,2021-10,2021-10
3826,2022-10,2023-10
5873,2020-04,2022-01
2388,2022-10,2022-10
2931,2020-08,2021-07
3999,2020-03,2024-04
9369,2021-02,2024-03
3258,2021-02,2024-06
4043,2022-02,2022-02
3838,2021-12,2025-04
5732,2024-02,2024-02
8389,2022-06,2022-06
1157,2021-06,2022-12
7290,2021-07,2022-05
9109,2020-01,2025-04
7809,2021-03,2023-01
9006,2024-11,2024-11
1505,2022-04,2022-04
5785,2020-12,2022-03
9808,2020-08,2025-03
9115,2020-01,2022-01
2871,2020-07,2020-09
7010,2022-11,2025-04
8231,2020-12,2021-07
2677,2022-08,2023-10
5055,2021-08,2025-04
8368,2023-06,2023-06
8193,2023-07,2023-07
4882,2022-03,2022-03
6744,2020-07,2020-07
8015,2022-06,2022-06
4385,2021-05,2021-05
6747,2020-09,2025-02
9827,2020-02,2023-11
5794,2020-02,2022-03
9428,2020-05,2020-05
2560,2021-06,2021-06
1971,2021-01,2024-05
3078,2023-12,2023-12
5090,2023-01,2023-01
5055,2021-08,2023-11
7434,2024-05,2024-05
5402,2021-08,2021-08
8405,2020-11,2021-03
7600,2021-08,2021-08
7046,2020-07,2022-02
6362,2023-10,2023-10
2526,2021-03,2021-07
6869,2020-12,2020-12
7516,2021-06,2021-06
4470,2020-04,2021-09
5646,2020-11,2020-11
3139,2022-01,2022-07
6631,2022-07,2022-07
1752,2022-10,2022-10
1266,2022-03,2022-03
8230,2021-04,2024-09
4314,2022-06,2022-06
5945,2025-04,2025-04
2529,2021-05,2024-12
2350,2021-06,2022-12
3711,2024-05,2024-05
6005,2022-07,2022-07
8032,2020-04,2024-09
2559,2021-01,2021-01
2276,2022-09,2022-09
9510,2024-07,2024-07
1132,2020-04,2021-06
7919,2020-06,2022-05
2160,2021-06,2024-03
2678,2020-11,2024-03
5902,2022-02,2022-02
3340,2021-12,2021-12
1138,2020-07,2024-02
8210,2024-04,2024-04
3480,2021-05,2021-05
8248,2021-04,2021-04
2646,2022-03,2024-09
7291,2022-01,2022-01
6152,2024-08,2024-08
5537,2024-06,2024-06
5668,2020-08,2021-03
1439,2021-01,2021-01
5942,2022-01,2022-06
9348,2021-06,2022-10
5842,2020-05,2020-05
9108,2021-10,2024-01
9185,2021-05,2021-05
9655,2020-07,2020-07
6916,2021-07,2024-02
7337,2021-07,2021-07
7895,2024-03,2024-03
3830,2021-02,2021-02
1273,2021-09,2023-10
5295,2022-06,2022-11
7520,2020-11,2024-06
9209,2021-01,2022-06
7590,2021-10,2023-07
9808,2020-08,2020-08
2369,2020-05,2020-05
4329,2022-03,2024-02
9788,2020-06,2024-07
2083,2021-06,2021-06
4909,2020-07,2022-03
8118,2021-07,2023-03
1901,2023-08,2023-08
3877,2020-10,2022-06
3248,2020-08,2020-08
9133,2020-03,2024-09
9474,2021-02,2021-02
5247,2020-05,2023-05
5403,2024-08,2024-08
1480,2023-01,2023-02
5456,2020-06,2020-06
2262,2020-09,2020-10
6900,2021-05,2024-08
3734,2023-09,2024-04
2685,2025-03,2025-03
2889,2020-05,2024-11
1042,2022-11,2023-10
5006,2020-07,2025-04
7274,2020-04,2022-01
1579,2020-10,2023-02
7870,2023-08,2023-08
7819,2020-01,2021-12
5444,2022-05,2023-03
7108,2021-10,2021-10
1862,2020-03,2023-11
1752,2022-10,2023-09
8620,2023-03,2023-03
6362,2023-10,2024-03
1130,2021-06,2024-06
5979,2021-03,2021-03
8600,2023-05,2023-05
4201,2025-02,2025-02
5016,2021-07,2021-07
1391,2022-04,2022-11
